k,BNF=1(kHz),BNF=2(kHz),BNF=3(kHz),BNF=4(kHz),BNF=5(kHz),BNF=6(kHz),BNF=7(kHz),BNF=8(kHz),BNF=9(kHz),BNF=10(kHz),BNF=11(kHz),BNF=12(kHz),BNF=13(kHz),BNF=14(kHz),BNF=15(kHz),BNF=16(kHz),BNF=17(kHz),BNF=18(kHz),BNF=19(kHz),BNF=20(kHz),BNF=21(kHz),BNF=22(kHz),BNF=23(kHz),BNF=24(kHz),BNF=25(kHz),BNF=26(kHz),VF(%),ASx(%),a(mm),ax(mm),ay(mm),az(mm),Band type,TPMS type,Solid Material,Medium,Shell thickness,t,CBG,BG exists?,Band Type
3.7,14.59638983,16.91595233,22.72068275,25.91342724,26.07721491,29.58782417,41.29560981,43.22800312,43.30494872,46.5260145,46.62252988,47.62575608,47.66365637,48.00857138,53.03995494,57.04473185,59.23456421,60.3963009,62.43175404,62.47931796,,,,,,,44,100,20,20,20,20,Elastic,Schwarz-P,Polymer,Air,Nan,-0.5,0.11003772,yes,Elastic
3.75,14.11671696,17.50069597,23.57470569,26.00972527,26.06325585,28.78841028,41.08971964,42.74238353,43.75504869,46.57077974,46.8071443,47.62258282,47.64711177,47.81328348,52.93601911,56.82883109,60.20080176,60.78126361,62.38136252,62.97994601,,,,,,,44,100,20,20,20,20,Elastic,Schwarz-P,Polymer,Air,Nan,-0.5,0.11003772,yes,Elastic
3.8,13.70837448,18.05943535,24.32928985,25.94814138,26.1939045,28.05511263,40.91052049,42.28868914,44.16159424,46.61868571,46.96871186,47.59011212,47.64184246,47.64383696,52.84733203,56.65435683,61.11177423,61.13831418,62.35731874,63.43636488,,,,,,,44,100,20,20,20,20,Elastic,Schwarz-P,Polymer,Air,Nan,-0.5,0.11003772,yes,Elastic
3.85,13.38004011,18.56533632,24.95816416,25.8962798,26.30096139,27.41413256,40.76403945,41.89331919,44.50976383,46.66825948,47.10145833,47.50055007,47.56551423,47.61586143,52.77596908,56.52016207,61.4504458,61.82248672,62.49482632,63.83259696,,,,,,,44,100,20,20,20,20,Elastic,Schwarz-P,Polymer,Air,Nan,-0.5,0.11003772,yes,Elastic
3.9,13.13935508,18.98110268,25.43403279,25.85713136,26.38052446,26.90225534,40.6554113,41.58388738,44.78167379,46.71573122,47.20032739,47.38674321,47.54827357,47.57941019,52.72368395,56.42517767,61.69724926,62.02275203,63.07990303,64.14671183,,,,,,,44,100,20,20,20,20,Elastic,Schwarz-P,Polymer,Air,Nan,-0.5,0.11003772,yes,Elastic
3.95,12.99234725,19.26041292,25.7318018,25.83280441,26.42955798,26.56542927,40.58857426,41.38582095,44.95711358,46.753058,47.26135064,47.30983123,47.5380433,47.54743322,52.69178254,56.36855068,61.85718439,62.03590706,63.72559857,64.35200365,,,,,,,44,100,20,20,20,20,Elastic,Schwarz-P,Polymer,Air,Nan,-0.5,0.11003772,yes,Elastic
4,12.94289312,19.35976262,25.82455386,25.8333028,26.44612594,26.44693156,40.56601013,41.31753004,45.01811338,46.76791303,47.28179598,47.28200612,47.53419461,47.53508154,52.68105924,56.3497355,61.91279089,62.03365155,64.06475251,64.42188084,,,,,,,44,100,20,20,20,20,Elastic,Schwarz-P,Polymer,Air,Nan,-0.5,0.11003772,yes,Elastic
0,16.82291097,16.82451106,16.82463209,32.37928304,32.38083428,32.38122754,39.33999497,39.34139963,40.77720141,40.77785929,44.64691317,44.64697756,44.64734868,62.35793778,62.95967317,62.95996534,62.96018017,63.30695458,63.31281489,63.31436385,,,,,,,47,100,20,20,20,20,Elastic,Schwarz-P,Polymer,Air,Nan,-0.4,0.113284484,yes,Elastic
0.05,16.8043632,16.85940429,16.86065856,32.23542152,32.38234667,32.38365237,39.34407684,39.37176525,40.77754851,40.92380062,44.62623319,44.62637718,44.64828323,62.27274451,62.94898849,62.95022948,62.96051674,63.1333626,63.13812305,63.30758914,,,,,,,47,100,20,20,20,20,Elastic,Schwarz-P,Polymer,Air,Nan,-0.4,0.113284484,yes,Elastic
0.1,16.74588643,16.96698343,16.96823046,31.82699233,32.38976999,32.39108519,39.35206092,39.46651283,40.77677831,41.33571854,44.56582217,44.56597463,44.65150785,62.02991422,62.524867,62.5306708,62.96217993,63.09654065,63.09693646,63.29303326,,,,,,,47,100,20,20,20,20,Elastic,Schwarz-P,Polymer,Air,Nan,-0.4,0.113284484,yes,Elastic
0.15,16.65042203,17.14457185,17.14579701,31.21920886,32.39901797,32.40034414,39.36516064,39.62264199,40.77551896,41.95048863,44.47083272,44.47099899,44.65679673,61.65924337,61.81956669,61.82564876,62.96423711,63.20972083,63.20993015,63.26932219,,,,,,,47,100,20,20,20,20,Elastic,Schwarz-P,Polymer,Air,Nan,-0.4,0.113284484,yes,Elastic
